DID,Country,City,Province,Account,Perminut,Inital Increment,Increment,Setup,Month,Call Type,Destination,,
524499950000,MEXICO,Aguascalientes,MEXICO,,0,60,60,0,0,DID@IP/URL,SIPS:524499950000@mercurio.ajtel.net|transport=tls|media_encryption=sdes,,
524499950001,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950002,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950003,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950004,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950005,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950006,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950007,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950008,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950009,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950010,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950011,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950012,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950013,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950014,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950015,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950016,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950017,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950018,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950019,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950020,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950021,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950022,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950023,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950024,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950025,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950026,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950027,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950028,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950029,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950030,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950031,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950032,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950033,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950034,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950035,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950036,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950037,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950038,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950039,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950040,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950041,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950042,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950043,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950044,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950045,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950046,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950047,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950048,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950049,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950050,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
524499950051,MEXICO,Aguascalientes,MEXICO,,0,60,60,3.5,3.5,DID@IP/URL,,,
