DID,Country,Account,Per Minute Cost(USD),Initial Increment,Increment,Setup Fee(USD),Monthly Fee(USD),Call Type,Destination,Status,Modified Date,Is Purchased?
524498590000,MEXICO,,0,60,60,2,1,DID@IP/URL,SIPS:524499950000@mercurio.ajtel.net|transport=tls|media_encryption=sdes,Active,31/03/2025 12:01,
524498590001,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590002,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590003,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590004,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590005,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590006,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590007,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590008,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590009,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590010,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590011,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590012,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590013,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590014,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590015,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590016,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590017,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590018,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590019,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590020,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590021,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590022,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590023,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590024,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590025,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590026,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590027,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590028,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590029,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590030,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
524498590031,MEXICO,,0,60,60,2,1,DID@IP/URL,,Active,31/03/2025 12:01,
